개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202437400000101438,공중화장실,법제3조제3호,올림피아,경기도 수원시 권선구 효원로 256번길(권선동),경기도 수원시 권선구 권선동 1012(올림픽공원),2,3,1,1,0,1,3,1,0,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:18:47
3740000,202437400000101439,공중화장실,법제3조제11호,오션주유소,경기도 수원시 권선구 매송고색로 843 (평동),경기도 수원시 권선구 평동 54,1,2,0,0,0,0,1,0,0,오션주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:18:21
3740000,202437400000101440,공중화장실,법제3조제3호,오목호수,,경기도 수원시 권선구 오목천동 1171,1,2,1,1,0,0,6,1,0,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:17:42
3740000,202437400000101441,공중화장실,법제3조제11호,오목천주유소,경기도 수원시 권선구 오목천로 40 (오목천동),경기도 수원시 권선구 오목천동 559-6,1,1,0,0,0,0,2,0,0,오목천주유소,,정시,06:00~22:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:17:19
3740000,202437400000101442,공중화장실,법제3조제3호,오목내,경기도 수원시 권선구 서부로 1433-3(고색동),경기도 수원시 권선구 고색동 992,1,2,1,0,0,0,2,1,0,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:16:45
3740000,202437400000101443,공중화장실,법제3조제11호,영화셀프주유소,경기도 수원시 장안구 수성로290번길 3 (영화동),경기도 수원시 장안구 영화동 390-1,1,1,0,0,0,0,1,0,0,영화셀프주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:16:19
3740000,202437400000101444,공중화장실,법제3조제3호,영화동행정복지센터,경기도 수원시 장안구 수성로382번길 24(영화동),경기도 수원시 장안구 영화동 250-1,2,1,1,1,0,0,4,1,0,영화동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:16:00
3740000,202437400000101445,공중화장실,법제3조제3호,영화동공영주차장,경기도 수원시 장안구 수설로382번길 30(영화동),경기도 수원시 장안구 영화동 230-3,1,3,1,0,0,0,3,1,0,수원시 장안구 생활안전과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:15:42
3740000,202437400000101446,공중화장실,법제3조제3호,영화동 복합문화공간,경기도 수원시 장안구 정조로922번길 13(영화동),경기도 수원시 장안구 영화동 276-14,2,3,1,1,0,0,5,1,1,수원시 장안구 생활안전과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:15:20
3740000,202437400000101447,공중화장실,법제3조제3호,영통지구대,경기도 수원시 영통구 청명로92(영통동),경기도 수원시 영통구 영통동 1046-2,2,2,1,1,0,0,1,1,0,수원영통경찰서,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:14:46
3740000,202437400000101448,공중화장실,법제3조제3호,영통중앙,경기도수원시 영통구 청명로 151(영통3동),경기도 수원시 영통구 영통2동 961-1번지(영통중앙공원),1,1,0,0,0,0,3,0,0,수원시 영통구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:14:22
3740000,202437400000101449,공중화장실,법제3조제11호,영통제일셀프주유소,경기도 수원시 영통구 영통로 317(매탄동),경기도 수원시 영통구 매탄동 540-5,2,2,0,0,0,0,2,0,0,영통제일셀프주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:14:02
3740000,202437400000101450,공중화장실,법제3조제3호,영통역 화장실,경기도 수원시 영통구 봉영로 1560 지하 1층 (영통동),경기도 수원시 영통구 영통동 1055,8,11,1,1,1,0,21,1,1,한국철도공사 수도권동부본부,,정시,20시간,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:13:11
3740000,202437400000101451,공중화장실,법제3조제3호,영통도서관,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시 영통구 영통동 961-1,10,19,4,1,0,0,14,4,0,수원시도서관사업소,,정시,"07:00~23:00(둘째, 네째주 월요일 휴무)",,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:12:45
3740000,202437400000101452,공중화장실,법제3조제3호,영통구청,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 영통구 매탄동 1268,12,11,1,1,0,0,11,1,0,영통구청,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:12:21
3740000,202437400000101453,공중화장실,법제3조제3호,영통구보건소,경기도 수원시 영통구 영통로 396(영통동),경기도 수원시 영통구 영통동 961-18,11,5,2,7,0,0,30,3,0,영통구보건소,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:12:04
3740000,202437400000101454,공중화장실,법제3조제3호,영통3동행정복지센터,경기도 수원시 영통구 반달로 105(영통동),경기도 수원시 영통구 영통동 1011-3,2,3,1,0,0,0,2,1,0,영통3동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:11:49
3740000,202437400000101455,공중화장실,법제3조제3호,영통2동행정복지센터,경기도 수원시 영통구 영통로217번길 12(영통동),경기도 수원시 영통구 영통동 977-3,1,1,1,1,0,0,2,1,0,영통2동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:11:32
3740000,202437400000101456,공중화장실,법제3조제3호,영통1동행정복지센터,경기도 수원시 영통구 봉영로1759번길 23(영통동),경기도 수원시 영통구 영통동 947-6,2,3,1,1,0,0,5,1,0,영통1동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:11:12
3740000,202437400000101457,공중화장실,법제3조제3호,염원,경기도 수원시 팔달구 동수원로335(인계동),경기도 수원시 팔달구 인계동 1128,3,5,1,0,0,2,6,0,7,수원시 팔달구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:10:54
3740000,202437400000101458,공중화장실,법제3조제3호,열림,경기도 수원시 영통구 웰빙타운로 73(이의동),경기도 수원시 영통구 이의동 1183,3,3,1,0,1,1,12,1,1,수원시 영통구 녹지공원과,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:10:34
3740000,202437400000101459,공중화장실,법제3조제3호,연암(소),경기도 수원시 영통구 창룡대로 246(광교1동),경기도 수원시 영통구 이의동 1288,1,1,1,0,0,0,2,1,0,수원시 영통구 녹지공원과,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:10:11
3740000,202437400000101460,공중화장실,법제3조제3호,연암,경기도 수원시 영통구 창룡대로 246(광교1동),경기도 수원시 영통구 이의동 1288,2,3,1,0,1,1,11,1,1,수원시 영통구 녹지공원과,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:09:52
3740000,202437400000101461,공중화장실,법제3조제3호,연무동행정복지센터,경기도 수원시 장안구 경수대로 757 (연무동),경기도 수원시 장안구 연무동 181-1,3,2,2,2,1,0,7,2,1,연무동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:09:29
3740000,202437400000101462,공중화장실,법제3조제3호,연무대,경기도 수원시 팔달구 창룡대로105(매향동),경기도 수원시 팔달구 매향동 3-32,3,4,1,1,0,1,7,0,1,수원시 화성사업소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:09:10
3740000,202437400000101463,공중화장실,법제3조제3호,연꽃,,경기도 수원시 장안구 송죽동 434,1,3,0,0,0,0,3,0,0,수원시 장안구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:08:45
3740000,202437400000101464,공중화장실,법제3조제3호,여기산2(동),,경기도 수원시 권선구 서둔동 365,4,3,1,0,0,0,4,1,0,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:08:24
3740000,202437400000101465,공중화장실,법제3조제3호,여기산1(서),경기도 수원시 권선구 여기산로26번길 30(서둔동),경기도 수원시 권선구 서둔동 256,2,3,1,0,0,0,3,1,0,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:08:04
3740000,202437400000101466,공중화장실,법제3조제3호,엘포트몰,경기도 수원시 영통구 광교중앙로 145(이의동),경기도 수원시 영통구 이의동 1336-1,18,20,2,0,0,0,37,2,0,엘프트몰,,정시,08:00~23:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:07:25
3740000,202437400000101467,공중화장실,법제3조제11호,에이제이에너지(주)직영 정자현대주유소,"경기도 수원시 장안구 정자천로 175, 정자주유소 (정자동)",경기도 수원시 장안구 정자동 874-7 정자주유소,1,1,0,0,0,0,2,0,0,에이제이에너지(주)직영 정자현대주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:06:40
3740000,202437400000101468,공중화장실,법제3조제3호,에덴메디여성병원,"경기도 수원시 권선구 동수원로 220, 에덴메디빌 (권선동)",경기도 수원시 권선구 권선동 1311-1 에덴메디빌,4,4,1,1,0,0,14,1,0,에덴메디여성병원,,정시,09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,Y,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:05:52
3740000,202437400000101469,공중화장실,법제3조제3호,어울림,경기도 수원시 권선구 금곡로 236(금곡동),경기도 수원시 권선구 금곡동 1126,2,3,1,1,0,1,7,1,1,수원시 권선구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:05:20
3740000,202437400000101470,공중화장실,법제3조제3호,어번레비,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1023공 (호수공원),2,4,1,1,1,1,8,1,1,수원시 공원녹지사업소,,상시,,,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:04:49
3740000,202437400000101471,공중화장실,법제3조제3호,솔밭어린이공원(어공9호),경기도 수원시 권선구 매탄로 11(권선동),경기도 수원시 권선구 권선동 1239,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,,정시,09~18시,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:03:14
3740000,202437400000101472,공중화장실,법제3조제3호,효정어린이공원(어공8호),경기도 수원시 권선구 권중로25번길 29-10(권선동),경기도 수원시 권선구 권선동 1232,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,,정시,09~18시,,공공기관-지방자치단체,수세식,N,N,,Y,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:02:49
3740000,202437400000101473,공중화장실,법제3조제3호,꽃잎어린이공원(어공7호),경기도 수원시 권선구 권중로 136(권선동),경기도 수원시 권선구 권선동 1273,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,,정시,09~18시,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:02:21
